Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC

"CC0805KRX7R9BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C1, C2","CAP0805","CC0805KRX7R9BB104","2","C49678"
"QRE1113GR","IC IR-SENSOR","IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC11, IC12","SOIC4- HEAD","QRE1113GR_H","12",""
"AFA07-S10ECA-00","Drawer Type 10P Contact,Top Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","J1","FPC-SMD-P1.00-10P_LCS-SJ-H2.5","AFA07-S10ECA-00","1","C262737"
"0805W8F1000T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","R1, R3, R5, R7, R9, R11","RES0805","0805W8F1000T5E","6","C17408"
"0805W8F3301T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 3.3kO 0805 Chip Resistor - Surface Mount ROHS","R2, R4, R6, R8, R10, R12","RES0805","0805W8F3301T5E","6","C26010"
