Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC

"CC0805KRX7R9BB104","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50 V 0.1uF X7R 0805 10%","C1, C2","CAP0805","CC0805KRX7R9BB104","2","C49678"
"QRE1113GR","IC IR-SENSOR","IC1, IC2","SOIC4- SIDE","QRE1113GR_S","2",""
"04FMS-1.0SP-TF(LF)(SN)","Drawer Type 4P Dual-sided contacts / top and bottom connection Horizontal attachment 1mm SMD,P=1mm,Surface Mount,Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","J1","FPC-SMD-P1.00-4P_JST","04FMS-1.0SP-TF(LF)(SN)","1","C265033"
"0805W8F1000T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 100O 0805 Chip Resistor - Surface Mount ROHS","R1","RES0805","0805W8F1000T5E","1","C17408"
"0805W8F4701T5E","125mW Thick Film Resistors 150V ±100ppm/? ±1% 4.7kO 0805 Chip Resistor - Surface Mount ROHS","R2","RES0805","0805W8F4701T5E","1","C17673"
